titre_normalise,frequence
collision aviaire 18l.,2
fod sur d21.,2
fuite hydraulique en c61,2
debordement de kerosene en c81,2
visibilite du marquage en b61,2
fod sur voie de service.,2
etat d'alerte - probleme hydraulique,2
effets de souffle en a29,2
refus de priorite en d23,2
erreur de repoussage en b10,2
probleme de degivrage en c61,2
non respect des procedures de repoussage en b61,2
etat d'alerte - fumee a bord,2
avion mal positionne d21.,2
repoussage non conforme en b61,2
fod sur d27,2
fuite de kerosene,2
dysfonctionnement mosquito,2
debordement de kerosene en c63,2
fod sur 18r,2
cailloux sur td,2
debordement de kerosene en b73,2
collisions aviaire sur 36l,2
collision aviare 18r,2
fod sur a36,2
collision aviaire 36r.,2
fod sur c83.,2
refus de priorite par essencier,2
visibilite marquage ta,2
collision aviaire 18 r,2
fod sur 18l,2
collision aviaire sur piste 18r,2
collision aviaire en 18r,2
fuite hydraulique c83,2
refus de priorite vehicule,2
materiel genant b93,2
materiel genant b71,2
erreur de repoussage,2
allumage des feux anti-collision pendant l'avitaillement,2
non respect des consignes de repoussage,2
stationnement interdit des avitailleurs au satellite t3,2
fod sur tl.,2
materiel genant b91,2
materiel genant c63,2
collision avion - barre de push,2
stationnement dangereux des camions avitailleurs,2
materiel genant b81,2
materiel genant c63.,2
push non conforme b93,2
morceaux d'enrobe sur piste 36r,2
materiel genant l11,2
collision animal,2
materiel genant c23.,2
repoussage non conforme c81.,2
collision aviaire sur la 18r,2
collision aviaire sur la 36l,2
collision aviaire sur piste 36l,2
fod sur t7,2
gravillons sur ts,2
fuite kerozene,2
refus de priorite par 2 camions,2
materiel genant en delta,2
materiel sous passerelle c43,2
fod sur t6,2
vehicule coupe la route a l'avion,2
fuite hydraulique en c81,2
gravillons sur a7,2
recherche d'oiseau 36r,2
balise laterale cassee sur 36r,2
collision animale sur t4,2
fod sur a6,2
pax avec cigarette,2
presence d'oiseaux sur 36l,2
fod sur aire de man,2
repoussage non respect des regles.,2
presence d'oiseaux 36l,2
recherche de lapin 18r,2
deversement kerosene en c81,2
voiture coupe la route a un avion,2
collision oiseau 18l,2
collision animal sur 18r,2
collision animal sur 36r,2
"telephone pendant l,avitaillement",2
qrp vol dus,2
qrp vol af,2
accident vl/installation,2
recherche oiseau sur 36r,2
recherche oiseau suite collision,2
collision oiseau/avion sur 18r,2
collision oiseau/avion sur 18l,2
fuite fioul materiel af,2
collision tracma/installation,2
evt/26/2419 refus priorite avion vehicule newrest,1
trappe carburant non scellee - night stop,1
laser lors de la montee,1
gse stationne sur zec,1
fod kerosene - surface superieure a 1 m²,1
retour parking cause verification technique,1
tournevis sur r3,1
fod - bris de verre sur aire de trafic,1
fod faune,1
etat d'alerte sur piper 28,1
mauvais placement avion e11,1
deroutement su lys cause meteo,1
collision gse avec aeronef,1
fod hydraulique - fuite d'huile avion surface <1m2,1
materiel genant sur zec et zep,1
crevaison aeronef a l'atterrissage,1
deroutement su lys cause malade a bord,1
non respect des consignes de securite du help,1
paxi cause invalidite des documents,1
fod hydraulique - fuite d'huile,1
refus de priorite aeronef au repoussage par vehicule sslia,1
fod hydraulique - deversement kerosene surface superieur a 1m2,1
fod hydraulique - fuite carburant escabeau,1
passerelle mal rangee,1
balise taxiway cassee,1
non-respect des consignes au roulage - rapprochement dangereux entre deux aeronefs,1
fumeur sur aire de tra en dehors des zones autorisees,1
fod fuite gasoil - surface superieur a 1m²,1
absence passerelle pour intervention sslia a bord,1
fod hydraulique - taches au sol,1
suspicion collision aviaire hors aerodrome,1
fod - cigarette electronique sur a1,1
fod hydraulique - fuite avion,1
stationnement gse sur zone de rassemblement,1
fod - piece metallique sur j35,1
vehicule aviapartner en dehors des voies autorisees,1
presence d'un pax sur l'aire de tra sans surveillance,1
deroutement sur lys cause meteo a cfe,1
deroutement sur lys cause meteo a nte,1
deroutement sur lys cause technique,1
fod hydraulique - fuite gse,1
remise de gaz cause approche non conforme,1
perte minimas de separation a la piste,1
remise de gaz suite approche non stabilisee,1
possible collision entre avion et escabeau - non avere,1
deroutement sur lys cause meteo a mrs,1
fod - grillage coupe,1
fod - debris metallique sur parking mike,1
absence totale d'indication de parking,1
collision avion escabeau,1
avion bloque et ne pouvant se placer correctement sur l17,1
remise de gaz - rapprochement de deux aeronefs,1
remise de gaz - alarme systeme a bord,1
remise de gaz - probleme altimetre,1
refus d'utilisation ambulift cause alerte vent fort,1
fod barre metallique sur aire de trafic,1
defaut manipulation passerelle,1
collision entre vehicule et aeronef - dommage avion,1
marshalling non conforme - confirmation avion cale non donnee a l'equipage,1
fod carburant - surface superieure a 1m²,1
fod - presence corps etranger dans un pneumatique,1
fermeture a4 avec notam sans coordination avec sna - travaux sag,1
erreur d'affectation parking atc,1
crevaison pneumatique avion a l'arrivee,1
sortie de piste dr400,1
fod - presence de visserie,1
6 deroutements sur lys cause meteo a cmf,1
deroutement sur lys cause meteo a dje,1
configuration du parking empechant le bon positionnement des escabeaux,1
zone ops encombre empechant l'avitaillement d'un vehicule avitailleur,1
"fod - lames d'amortisseur, sur aire tra",1
passerelle non mise en garage,1
fod - debris de verre en zec,1
lrst - rex evenements de securite 2025,1
